ngram,count
G151 G151,549
G119 G151,245
G151 G119,229
G154 G151,177
G151 G154,173
G119 G119,117
G151 G111,91
G119 G154,88
G111 G151,83
G154 G154,75
G154 G119,74
G133 G151,69
G151 G133,66
G151 G121,62
G151 G033,60
G111 G119,57
G033 G151,53
G122 G151,53
G151 G122,51
G119 G111,51
G121 G151,46
G133 G119,39
G122 G119,38
G111 G154,37
G119 G133,33
G111 G111,30
G154 G111,30
G119 G122,29
G033 G119,29
G111 G122,27
