Metrica,Nostra Analisi,EVA Reference,Match
Entropia Shannon (bit/simbolo),4.109,3.861,94%
Zipf slope,-1.4239853747735487,-2.2033562726178384,65%
Tipi unici,184,22,0%
Simboli totali,88022,191545,46%
